datetime,internal_temperature,external_temperature,internal_humidity,external_illuminance,internal_co2,internal_oxygen
2026-03-27 19:54:48,25.55,6.41,50.66,649.6,0.0633,6.47
2026-03-27 19:58:35,21.5,8.05,57.6,700.04,0.058,5.74
2026-04-02 19:30:40,24.16,19.9,51.22,649.0,0.0539,5.13
2026-04-07 19:24:36,27.2,8.33,56.22,638.1,0.0274,4.79
2026-04-07 19:24:41,19.37,2.25,59.44,590.27,0.0607,4.51
2026-04-07 19:24:46,23.52,15.49,54.35,578.55,0.0394,6.2
2026-04-07 19:24:51,25.1,16.45,54.99,574.23,0.058,6.37
2026-04-07 19:24:56,24.55,2.27,56.0,572.42,0.044,4.35
2026-04-07 19:33:21,22.88,17.63,51.8,518.85,0.0258,5.99
2026-04-07 19:33:26,22.38,17.9,57.2,694.63,0.0623,5.6
2026-04-07 19:33:31,28.62,18.79,51.22,572.81,0.0738,6.11
2026-04-07 19:33:36,20.97,16.28,53.96,615.01,0.0296,5.73
2026-04-07 19:33:41,20.66,0.37,52.07,675.59,0.0492,5.56
2026-04-07 19:33:46,20.61,15.55,53.2,566.49,0.0996,6.41
2026-04-07 19:33:51,22.83,16.82,52.89,645.03,0.06,6.1
2026-04-07 19:33:56,22.71,11.95,50.69,706.22,0.0794,6.3
2026-04-07 19:34:01,26.75,20.68,52.64,618.13,0.0634,6.83
2026-04-07 19:34:06,18.51,10.88,52.68,626.85,0.0405,5.14
2026-04-07 19:34:11,27.37,16.36,51.49,711.94,0.024,6.33
2026-04-07 19:34:16,24.8,18.35,55.34,518.58,0.0702,5.09
2026-04-07 19:34:21,27.87,18.35,52.36,612.53,0.0879,6.01
2026-04-07 19:34:26,27.21,0.75,50.91,712.45,0.0814,4.53
2026-04-07 19:34:31,18.76,11.06,50.44,655.32,0.0593,6.32
