datetime,mars_base_internal_temperature,mars_base_external_temperature,mars_base_internal_humidity,mars_base_external_illuminance,mars_base_internal_co2,mars_base_internal_oxygen
2026-04-16 01:17:25,25.38,17.75,52.82,612.15,0.0974,4.61
2026-04-16 01:17:30,24.56,6.45,55.08,688.49,0.0665,4.56
2026-04-16 01:17:35,19.42,16.38,51.06,695.75,0.0842,6.6
2026-04-16 01:17:40,19.81,3.85,56.09,641.62,0.0508,4.2
2026-04-16 01:17:45,27.87,16.0,52.39,588.78,0.095,4.43
2026-04-16 01:17:50,25.53,8.0,55.19,604.8,0.0355,5.39
2026-04-16 01:17:55,22.65,19.92,58.91,636.61,0.0815,6.17
2026-04-16 01:20:46,29.1,13.03,58.08,596.89,0.0246,4.33
2026-04-16 01:21:44,18.16,2.04,52.06,624.12,0.0204,5.59
2026-04-16 01:37:12,27.85,20.91,53.81,597.76,0.0608,5.67
2026-04-16 02:08:25,19.55,17.77,55.11,674.43,0.0686,5.46
